PROG,USO,DESTINAZIONE,PORTATA,FLAG_ANN_MASSA_RIMORC,CILINDRATA,ALIMENTAZIONE,MASSA_RIMORCHIABILE,NUMERO_POSTI,TIPO_ALIMENTAZIONE_IMPIANTO,KW,DT_PRIMA_IMMATRICOLAZIONE,NUMERO_ASSI,COD_SIGLA_EURO,EMISSIONI_CO2,PESO_COMPLESSIVO,COD_ISTAT_COMUNE,COD_ISTAT_PROVINCIA
9258803,0,A,440,P,01242,B,750,5,,44,2008,2,EURO4,1390,1460,182,018
1453460,0,A,465,P,01699,B,1300,5,,85,2004,2,EURO4,1570,1705,029,017
11341671,4,C,1222,P,01997,G,1895,3,,88,2010,2,EURO4,1940,3005,001,018
11899195,0,A,326,A,"995,00",GPL,0,5,,50,2010,2,EURO5,1100,1355,192,015
11847874,4,C,1580,A,"2998,00",G,0,3,,125,2010,2,EURO5,0,3500,118,012
6660163,0,A,430,P,01896,G,1700,5,,96,2002,2,EURO3,1760,2130,018,014
14793912,0,A,375,P,"1242,00",B,800,4,,51,2016,2,EURO6,1110,1350,039,108
6420187,6,T,10900,P,11946,G,36900,2,,315,1998,2,EURO2,0,18000,173,017
8993003,0,A,415,,01391,B,,5,,44,,2,,,1470,071,018
8486738,0,A,421,P,01798,B,1300,4,,92,2007,2,EURO4,1740,1750,146,015
15705239,0,A,525,P,"1248,00",B,910,5,,61.8,2016,2,EURO6,1190,1580,177,018
2257334,0,A,435,P,01242,B,1000,5,,44,2002,2,EURO3,1360,1385,081,017
9978213,7,C,10070,A,06693,G,,3,,207.2,2008,2,EURO4,0,18000,011,015
9241991,0,A,428,P,01242,B,600,5,M,55,2008,2,EURO4,1390,1530,193,016
8895753,0,A,449,P,01388,B,900,5,,59,2007,2,EURO4,1540,1605,007,108
2435282,0,A,355,A,01390,B,,4,,55,2000,2,EURO4,1460,1380,019,098
10559530,4,C,630,P,01248,G,1000,2,,62,2009,2,EURO4,1400,1915,146,015
13261665,0,A,468,P,"1149,00",GPL,1200,5,,54,2013,2,EURO5,1160,1579,118,015
8391027,0,M,70,A,00599,B,,2,,72,1992,2,EURO0,0,360,146,015
4109831,4,C,938,P,01870,G,2000,2,,60,2002,2,EURO3,0,2700,034,016
4741153,0,A,90,A,01970,B,,2,,103.04,1983,2,EURO0,0,1210,012,108
